
2024/04/22 (16:18:04) | ===> btop++ v.1.3.2
2024/04/22 (16:18:04) | ERROR: Stall in Runner thread, restarting!

2024/07/21 (14:22:45) | ===> btop++ v.1.3.2
2024/07/21 (14:22:45) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/12/14 (10:28:24) | ===> btop++ v.1.4.0
2024/12/14 (10:28:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (02:43:19) | ===> btop++ v.1.4.0
2025/01/06 (02:43:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (03:46:19) | ===> btop++ v.1.4.0
2025/01/06 (03:46:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (00:03:48) | ===> btop++ v.1.4.0
2025/01/08 (00:03:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (17:54:10) | ===> btop++ v.1.4.0
2025/01/15 (17:54:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (20:24:52) | ===> btop++ v.1.4.0
2025/01/18 (20:24:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (20:25:38) | ===> btop++ v.1.4.0
2025/01/18 (20:25:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (20:25:51) | ===> btop++ v.1.4.0
2025/01/18 (20:25:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (20:27:28) | ===> btop++ v.1.4.0
2025/01/18 (20:27:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (20:34:29) | ===> btop++ v.1.4.0
2025/01/18 (20:34:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (20:39:47) | ===> btop++ v.1.4.0
2025/01/18 (20:39:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (20:40:36) | ===> btop++ v.1.4.0
2025/01/18 (20:40:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (20:46:02) | ===> btop++ v.1.4.0
2025/01/18 (20:46:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (20:48:20) | ===> btop++ v.1.4.0
2025/01/18 (20:48:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (22:25:03) | ===> btop++ v.1.4.0
2025/01/18 (22:25:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (22:27:27) | ===> btop++ v.1.4.0
2025/01/18 (22:27:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (22:30:14) | ===> btop++ v.1.4.0
2025/01/18 (22:30:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (22:31:21) | ===> btop++ v.1.4.0
2025/01/18 (22:31:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (16:56:23) | ===> btop++ v.1.4.0
2025/01/19 (16:56:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (17:05:37) | ===> btop++ v.1.4.0
2025/01/19 (17:05:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (22:40:34) | ===> btop++ v.1.4.0
2025/01/20 (22:40:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (16:26:21) | ===> btop++ v.1.4.0
2025/01/23 (16:26:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (14:37:21) | ===> btop++ v.1.4.0
2025/01/28 (14:37:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (18:08:41) | ===> btop++ v.1.4.0
2025/01/28 (18:08:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (19:05:18) | ===> btop++ v.1.4.0
2025/01/28 (19:05:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (19:08:13) | ===> btop++ v.1.4.0
2025/01/28 (19:08:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (19:54:34) | ===> btop++ v.1.4.0
2025/01/28 (19:54:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (20:05:15) | ===> btop++ v.1.4.0
2025/01/28 (20:05:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (20:28:39) | ===> btop++ v.1.4.0
2025/01/28 (20:28:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (20:33:54) | ===> btop++ v.1.4.0
2025/01/28 (20:33:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (20:42:16) | ===> btop++ v.1.4.0
2025/01/28 (20:42:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (21:21:12) | ===> btop++ v.1.4.0
2025/01/28 (21:21:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (16:57:04) | ===> btop++ v.1.4.0
2025/01/29 (16:57:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (16:57:14) | ===> btop++ v.1.4.0
2025/01/29 (16:57:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (16:58:00) | ===> btop++ v.1.4.0
2025/01/29 (16:58:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (16:59:35) | ===> btop++ v.1.4.0
